lyph_composition,contained_by,hosted_by,group_type,source,target,name
"Neural Terminal Lyph","Gracile tract","Lower Limb","1st order sensory neuron","",["Gracile tract of Lower Limb - 1st order sensory neuron - Neural Tubing Lyph"],"Gracile tract of Lower Limb - 1st order sensory neuron - Neural Terminal Lyph"
"Neural Tubing Lyph","Gracile tract","Lower Limb","1st order sensory neuron",["Gracile tract of Lower Limb - 1st order sensory neuron - Neural Terminal Lyph"],["Gracile tract of Dorsal Root Ganglion - 1st order sensory neuron - Soma Lyph"],"Gracile tract of Lower Limb - 1st order sensory neuron - Neural Tubing Lyph"
"Soma Lyph","Gracile tract","Dorsal Root Ganglion","1st order sensory neuron",["Gracile tract of Lower Limb - 1st order sensory neuron - Neural Tubing Lyph"],["Gracile tract of Spinal Cord - Parenchyma layer - 1st order sensory neuron - CNS entrance Tubing Neural Lyph"],"Gracile tract of Dorsal Root Ganglion - 1st order sensory neuron - Soma Lyph"
"CNS entrance Tubing Neural Lyph","Gracile tract","Spinal Cord - Parenchyma layer","1st order sensory neuron",["Gracile tract of Dorsal Root Ganglion - 1st order sensory neuron - Soma Lyph"],["Gracile tract of Medulla - Parenchyma layer - 1st order sensory neuron - Neural Tubing Lyph"],"Gracile tract of Spinal Cord - Parenchyma layer - 1st order sensory neuron - CNS entrance Tubing Neural Lyph"
"Neural Tubing Lyph","Gracile tract","Medulla - Parenchyma layer","1st order sensory neuron",["Gracile tract of Spinal Cord - Parenchyma layer - 1st order sensory neuron - CNS entrance Tubing Neural Lyph"],["Gracile tract of Gracile Nucleus of Medulla - 1st order sensory neuron - Neural Tubing Lyph"],"Gracile tract of Medulla - Parenchyma layer - 1st order sensory neuron - Neural Tubing Lyph"
"Neural Tubing Lyph","Gracile tract","Gracile Nucleus of Medulla","1st order sensory neuron",["Gracile tract of Medulla - Parenchyma layer - 1st order sensory neuron - Neural Tubing Lyph"],["Gracile tract of Gracile Nucleus of Medulla - 1st order sensory neuron - Neural Terminal Lyph"],"Gracile tract of Gracile Nucleus of Medulla - 1st order sensory neuron - Neural Tubing Lyph"
"Neural Terminal Lyph","Gracile tract","Gracile Nucleus of Medulla","1st order sensory neuron",["Gracile tract of Gracile Nucleus of Medulla - 1st order sensory neuron - Neural Tubing Lyph"],"","Gracile tract of Gracile Nucleus of Medulla - 1st order sensory neuron - Neural Terminal Lyph"
"Neural Terminal Lyph","Anterolateral Spinothalamic tract","Skin - Dermal layer","1st order sensory neuron","",["Anterolateral Spinothalamic tract of Skin - Dermal layer - 1st order sensory neuron - Neural Tubing Lyph"],"Anterolateral Spinothalamic tract of Skin - Dermal layer - 1st order sensory neuron - Neural Terminal Lyph"
"Neural Tubing Lyph","Anterolateral Spinothalamic tract","Skin - Dermal layer","1st order sensory neuron",["Anterolateral Spinothalamic tract of Skin - Dermal layer - 1st order sensory neuron - Neural Terminal Lyph"],["Anterolateral Spinothalamic tract of Dorsal Root Ganglion - 1st order sensory neuron - Soma Lyph"],"Anterolateral Spinothalamic tract of Skin - Dermal layer - 1st order sensory neuron - Neural Tubing Lyph"
"Soma Lyph","Anterolateral Spinothalamic tract","Dorsal Root Ganglion","1st order sensory neuron",["Anterolateral Spinothalamic tract of Skin - Dermal layer - 1st order sensory neuron - Neural Tubing Lyph"],["Anterolateral Spinothalamic tract of Dorsal Root Ganglion - 1st order sensory neuron - Neural Tubing Lyph"],"Anterolateral Spinothalamic tract of Dorsal Root Ganglion - 1st order sensory neuron - Soma Lyph"
"Neural Tubing Lyph","Anterolateral Spinothalamic tract","Dorsal Root Ganglion","1st order sensory neuron",["Anterolateral Spinothalamic tract of Dorsal Root Ganglion - 1st order sensory neuron - Soma Lyph"],["Anterolateral Spinothalamic tract of Spinal Cord - Parenchyma layer - 1st order sensory neuron - Neural Tubing Lyph"],"Anterolateral Spinothalamic tract of Dorsal Root Ganglion - 1st order sensory neuron - Neural Tubing Lyph"
"Neural Tubing Lyph","Anterolateral Spinothalamic tract","Spinal Cord - Parenchyma layer","1st order sensory neuron",["Anterolateral Spinothalamic tract of Dorsal Root Ganglion - 1st order sensory neuron - Neural Tubing Lyph"],["Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 1st order sensory neuron - Neural Tubing Lyph"],"Anterolateral Spinothalamic tract of Spinal Cord - Parenchyma layer - 1st order sensory neuron - Neural Tubing Lyph"
"Neural Tubing Lyph","Anterolateral Spinothalamic tract","Dorsal Horn of Spinal Cord","1st order sensory neuron",["Anterolateral Spinothalamic tract of Spinal Cord - Parenchyma layer - 1st order sensory neuron - Neural Tubing Lyph"],["Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 1st order sensory neuron - Neural Terminal Lyph"],"Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 1st order sensory neuron - Neural Tubing Lyph"
"Neural Terminal Lyph","Anterolateral Spinothalamic tract","Dorsal Horn of Spinal Cord","1st order sensory neuron",["Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 1st order sensory neuron - Neural Tubing Lyph"],["Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 2nd order sensory neuron - Neural Terminal Lyph"],"Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 1st order sensory neuron - Neural Terminal Lyph"
"Neural Terminal Lyph","Anterolateral Spinothalamic tract","Dorsal Horn of Spinal Cord","2nd order sensory neuron",["Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 1st order sensory neuron - Neural Terminal Lyph"],["Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 2nd order sensory neuron - Soma Lyph"],"Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 2nd order sensory neuron - Neural Terminal Lyph"
"Soma Lyph","Anterolateral Spinothalamic tract","Dorsal Horn of Spinal Cord","2nd order sensory neuron",["Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 2nd order sensory neuron - Neural Terminal Lyph"],["Anterolateral Spinothalamic tract of Medulla - Parenchyma layer - 2nd order sensory neuron - Neural Tubing Lyph"],"Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 2nd order sensory neuron - Soma Lyph"
"Neural Tubing Lyph","Anterolateral Spinothalamic tract","Medulla - Parenchyma layer","2nd order sensory neuron",["Anterolateral Spinothalamic tract of Dorsal Horn of Spinal Cord - 2nd order sensory neuron - Soma Lyph"],["Anterolateral Spinothalamic tract of Pons - Parenchyma layer - 2nd order sensory neuron - Neural Tubing Lyph"],"Anterolateral Spinothalamic tract of Medulla - Parenchyma layer - 2nd order sensory neuron - Neural Tubing Lyph"
"Neural Tubing Lyph","Anterolateral Spinothalamic tract","Pons - Parenchyma layer","2nd order sensory neuron",["Anterolateral Spinothalamic tract of Medulla - Parenchyma layer - 2nd order sensory neuron - Neural Tubing Lyph"],["Anterolateral Spinothalamic tract of Midbrain - Parenchyma layer - 2nd order sensory neuron - Neural Tubing Lyph"],"Anterolateral Spinothalamic tract of Pons - Parenchyma layer - 2nd order sensory neuron - Neural Tubing Lyph"
