GPm	GPl	SI	MA	MS	NDB	TRS	BSTam	BSTfu	BSTv	BSTmg	BSTdm	BSTal	BSTov	BSTju	BSTrh	BSTpr	BSTif	BSTtr	BSTd	BSTse	BAC	OT	ACB	LSr.m.v	LSr.m.d	LSr.vl	LSr.dl	LSc.v	LSc.d	LSv	SH	SF	FS	CP	AAA	CEAm	CEAl	CEAc	IA	MEAav	MEAad	MEApv	MEApd	BA
GPm	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
GPl	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0
SI	0	2	0	3	0	2	0	3	0	3	3	1	3	0	0	3	2	0	0	1	0	0	0	6	3	4	0	0	0	0	2	0	1	3	2	2	4	2	1	2	2	4	3	4	1
MA	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	2	2	3	0
MS	0	0	2	2	0	5	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	0	2	2	2	2	0	0	0	0	0	2	0	0	0	0	3	0
NDB	0	0	2	2	2	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	3	0	3	3	1	0	2	2	0	0	0	0	2	3	0	3	3	3	3	0
TRS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BSTam	0	0	6	0	0	1	0	0	6	4	4	4	6	2	0	4	2	4	4	0	2	0	3	7	3	0	3	2	2	1	3	0	1	2	0	1	4	2	2	0	0	2	1	1	0
BSTfu	0	0	4	0	0	2	0	6	0	4	2	4	5	4	2	4	2	2	2	0	2	0	0	4	2	0	2	1	0	1	2	0	1	1	0	0	6	1	1	1	0	0	0	0	0
BSTv	0	0	3	0	2	0	0	5	5	0	5	5	3	1	0	3	0	0	1	0	0	0	0	3	2	1	1	1	1	1	1	0	1	0	0	0	4	1	3	1	0	2	0	0	0
BSTmg	0	0	3	0	0	0	0	4	6	6	0	6	3	2	0	6	1	1	0	0	0	0	0	3	1	0	1	1	0	0	0	0	1	1	0	1	4	0	2	0	0	0	0	0	0
BSTdm	0	0	5	1	1	1	0	4	5	6	6	0	5	2	0	4	2	4	3	1	0	0	1	3	3	1	2	3	2	1	1	0	0	2	0	2	5	1	2	0	0	3	2	2	0
BSTal	0	1	6	1	0	1	0	6	6	3	4	3	0	4	4	6	1	2	2	0	0	0	1	2	2	1	2	2	1	1	0	0	0	2	0	2	7	2	2	2	0	2	0	2	0
BSTov	0	1	5	0	0	0	0	3	7	2	2	2	4	0	4	4	0	3	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	5	3	2	1	0	0	0	0	0
BSTju	0	1	7	0	0	0	0	1	1	1	1	1	3	1	0	1	0	2	2	0	6	0	0	2	0	0	0	1	0	0	0	0	1	1	3	1	4	2	2	0	0	1	0	0	0
BSTrh	0	2	7	2	0	1	0	7	7	6	5	4	7	6	3	0	0	4	4	0	0	0	3	5	2	0	2	2	1	1	2	0	1	4	1	2	7	4	7	3	1	2	1	1	1
BSTpr	0	0	1	0	0	0	0	2	2	3	3	2	2	0	0	0	0	3	2	2	0	0	0	1	1	0	3	2	2	0	3	0	0	0	0	1	1	0	1	1	0	2	1	6	0
BSTif	0	0	4	1	1	1	0	3	0	3	3	1	1	0	0	0	2	0	4	2	1	0	2	1	3	2	3	3	2	0	2	0	1	0	0	2	2	0	2	1	2	4	4	3	0
BSTtr	0	0	4	0	0	0	0	4	3	3	2	2	2	2	0	3	2	4	0	1	0	0	1	2	3	1	3	2	2	0	1	0	0	2	0	4	5	0	3	3	2	3	2	2	0
BSTd	0	0	6	0	0	0	0	6	6	4	4	4	6	2	2	2	2	7	7	0	6	0	4	4	0	0	5	0	0	0	6	0	0	0	0	0	4	0	0	0	0	6	2	6	0
BSTse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OT	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACB	2	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0
LSr.m.v	0	0	2	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
LSr.m.d	0	0	2	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LSr.vl	0	0	2	0	0	0	0	3	0	1	1	1	2	0	0	0	2	0	0	0	0	2	0	4	4	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0
LSr.dl	0	0	2	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	3	2	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0
LSc.v	0	0	2	0	3	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
LSc.d	0	0	2	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LSv	0	0	1	0	0	2	1	2	0	1	1	1	0	0	0	0	2	1	1	3	0	0	0	0	1	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
SH	0	0	3	3	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	4	0	0	0	4	0	2	2	0	0	0	0	0	0	0	0
SF	0	0	1	0	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FS	0	6	6	2	0	0	0	4	4	2	2	2	3	0	0	2	2	0	0	0	0	0	2	2	0	0	0	1	1	0	0	0	0	0	2	2	6	1	4	2	0	2	0	1	0
CP	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA	0	4	4	4	1	4	0	4	1	2	0	1	4	2	0	6	2	3	6	0	0	0	4	4	1	0	0	0	0	0	0	0	0	6	0	0	2	2	2	0	0	0	0	0	0
CEAm	0	0	3	0	0	0	0	5	6	2	3	2	6	6	1	7	1	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	0	0	0	0
CEAl	0	0	3	0	0	0	0	3	6	0	2	1	4	5	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0
CEAc	0	0	3	0	0	1	0	4	4	3	4	2	7	2	1	6	1	2	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	2	4	0	0	0	0	0	0	0
IA	0	0	4	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
MEAav	0	0	3	0	0	1	0	3	0	2	0	0	4	0	0	0	2	3	3	0	6	0	2	2	2	0	0	0	0	0	0	0	0	2	0	2	2	2	3	1	0	3	3	3	0
MEAad	0	0	4	1	1	4	0	6	0	4	3	4	3	1	0	4	2	6	6	2	2	0	2	2	4	1	5	2	2	2	3	0	1	3	0	7	4	1	6	6	6	0	6	4	7
MEApv	0	0	3	1	0	1	0	5	0	4	4	2	2	1	0	0	3	6	7	2	0	0	2	0	2	0	3	2	2	0	3	0	0	2	0	3	2	0	3	3	7	6	0	4	7
MEApd	0	0	2	0	0	0	0	2	0	2	1	1	1	0	0	0	7	4	3	2	0	0	0	0	1	0	3	2	2	0	3	0	1	0	0	2	2	0	2	1	4	4	4	0	3
BA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
